INFO:     Started server process [9788]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-06-20 20:16:50,551 | INFO | university_finder | GET /announcements \u2192 200 (9.4ms)
2026-06-20 20:16:50,563 | INFO | university_finder | POST /announcements/read-all \u2192 200 (7.6ms)
2026-06-20 20:16:54,620 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (6.9ms)
2026-06-20 20:16:54,621 | INFO | university_finder | GET /support/my \u2192 200 (7.9ms)
2026-06-20 20:16:57,142 | INFO | university_finder | GET /support \u2192 200 (0.8ms)
2026-06-20 20:16:57,168 | INFO | university_finder | GET /assets/index-BpstG4ts.js \u2192 200 (3.9ms)
2026-06-20 20:16:57,172 | INFO | university_finder | GET /assets/index-4hvmLaEC.css \u2192 200 (5.0ms)
2026-06-20 20:16:57,282 | INFO | university_finder | GET /favicon.svg \u2192 200 (4.0ms)
2026-06-20 20:16:57,286 | INFO | university_finder | GET /auth/me \u2192 200 (8.6ms)
2026-06-20 20:16:57,320 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (15.2ms)
2026-06-20 20:16:57,322 | INFO | university_finder | GET /support/my \u2192 200 (14.7ms)
2026-06-20 20:19:01,421 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (5.9ms)
2026-06-20 20:19:01,432 | INFO | university_finder | GET /announcements \u2192 200 (7.3ms)
2026-06-20 20:19:01,441 | INFO | university_finder | POST /announcements/read-all \u2192 200 (5.0ms)
2026-06-20 20:23:41,252 | INFO | university_finder | GET /announcements \u2192 200 (1.2ms)
2026-06-20 20:23:41,281 | INFO | university_finder | GET /assets/index-CE2wSD0f.js \u2192 200 (3.9ms)
2026-06-20 20:23:41,284 | INFO | university_finder | GET /assets/index-4hvmLaEC.css \u2192 200 (5.7ms)
2026-06-20 20:23:41,528 | INFO | university_finder | GET /favicon.svg \u2192 200 (3.5ms)
2026-06-20 20:23:41,531 | INFO | university_finder | GET /auth/me \u2192 200 (6.6ms)
2026-06-20 20:23:41,563 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (9.9ms)
2026-06-20 20:23:41,571 | INFO | university_finder | POST /announcements/read-all \u2192 200 (10.6ms)
2026-06-20 20:23:45,165 | INFO | university_finder | GET /announcements \u2192 200 (1.0ms)
2026-06-20 20:23:45,191 | INFO | university_finder | GET /assets/index-CE2wSD0f.js \u2192 200 (2.9ms)
2026-06-20 20:23:45,192 | INFO | university_finder | GET /assets/index-4hvmLaEC.css \u2192 200 (3.1ms)
2026-06-20 20:23:45,306 | INFO | university_finder | GET /favicon.svg \u2192 200 (4.5ms)
2026-06-20 20:23:45,309 | INFO | university_finder | GET /auth/me \u2192 200 (9.7ms)
2026-06-20 20:23:45,338 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (11.1ms)
2026-06-20 20:23:45,342 | INFO | university_finder | POST /announcements/read-all \u2192 200 (12.4ms)
2026-06-20 20:23:46,657 | INFO | university_finder | GET /announcements \u2192 200 (0.8ms)
2026-06-20 20:23:46,675 | INFO | university_finder | GET /assets/index-CE2wSD0f.js \u2192 200 (2.4ms)
2026-06-20 20:23:46,681 | INFO | university_finder | GET /assets/index-4hvmLaEC.css \u2192 200 (3.9ms)
2026-06-20 20:23:46,803 | INFO | university_finder | GET /favicon.svg \u2192 200 (6.4ms)
2026-06-20 20:23:46,807 | INFO | university_finder | GET /auth/me \u2192 200 (10.2ms)
2026-06-20 20:23:46,825 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (10.0ms)
2026-06-20 20:23:46,828 | INFO | university_finder | POST /announcements/read-all \u2192 200 (8.3ms)
2026-06-20 20:23:46,840 | INFO | university_finder | GET /announcements \u2192 200 (1.0ms)
2026-06-20 20:23:46,863 | INFO | university_finder | GET /assets/index-CE2wSD0f.js \u2192 200 (3.8ms)
2026-06-20 20:23:46,864 | INFO | university_finder | GET /assets/index-4hvmLaEC.css \u2192 200 (3.6ms)
2026-06-20 20:23:46,960 | INFO | university_finder | GET /favicon.svg \u2192 200 (3.2ms)
2026-06-20 20:23:46,963 | INFO | university_finder | GET /auth/me \u2192 200 (7.1ms)
2026-06-20 20:23:46,981 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (6.9ms)
2026-06-20 20:23:46,983 | INFO | university_finder | GET /announcements \u2192 200 (2.4ms)
2026-06-20 20:23:47,009 | INFO | university_finder | GET /assets/index-CE2wSD0f.js \u2192 200 (3.6ms)
2026-06-20 20:23:47,009 | INFO | university_finder | GET /assets/index-4hvmLaEC.css \u2192 200 (3.8ms)
2026-06-20 20:23:47,098 | INFO | university_finder | GET /favicon.svg \u2192 200 (2.8ms)
2026-06-20 20:23:47,104 | INFO | university_finder | GET /auth/me \u2192 200 (10.0ms)
2026-06-20 20:23:47,123 | INFO | university_finder | GET /announcements \u2192 200 (10.1ms)
2026-06-20 20:23:47,123 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (10.3ms)
2026-06-20 20:23:47,133 | INFO | university_finder | POST /announcements/read-all \u2192 200 (4.5ms)
2026-06-20 20:23:51,418 | INFO | university_finder | GET /support/my \u2192 200 (9.0ms)
2026-06-20 20:23:51,420 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (12.8ms)
2026-06-20 20:23:57,339 | INFO | university_finder | POST /support \u2192 201 (11.8ms)
2026-06-20 20:24:05,641 | INFO | university_finder | GET /admin/users \u2192 200 (2.3ms)
2026-06-20 20:24:05,665 | INFO | university_finder | GET /admin/assets/index-CrygVe23.js \u2192 200 (3.2ms)
2026-06-20 20:24:05,804 | INFO | university_finder | GET /admin/favicon.svg \u2192 200 (3.7ms)
2026-06-20 20:24:05,924 | INFO | university_finder | GET /admin/students \u2192 200 (17.1ms)
